license_id,vendor,tool_name,license_type,department,region,total_seats,avg_utilization,peak_utilization,cost_per_seat_usd,total_cost_usd,issue_date,expiry_date,days_to_expiry,renewal_risk,over_licensed,unused_seats,potential_savings
LIC-0027,Vendor_A,SchematicCapture,Floating,Physical Design,EMEA,50,49.3,78.2,25000,1250000,2024-10-05,2025-10-05,-224,Expired,False,24,600000
LIC-0028,Vendor_A,LayoutEditor,Floating,Verification,APAC,25,28.2,34.7,15000,375000,2025-12-19,2026-12-19,216,Low,True,16,240000
LIC-0029,Vendor_C,FormalChecker,Floating,Mixed-Signal,Americas,25,29.7,36.7,12000,300000,2025-12-07,2026-12-07,204,Low,True,16,192000
LIC-0030,Vendor_C,VerifyTool_B,Node-Locked,DFT,APAC,25,40.0,51.2,25000,625000,2026-01-06,2027-01-06,234,Low,False,14,350000
LIC-0031,Vendor_B,WaveformViewer,Floating,Physical Design,APAC,15,17.3,28.3,20000,300000,2025-10-04,2027-10-04,505,Low,True,11,220000
LIC-0032,Vendor_B,WaveformViewer,Floating,ASIC Design,APAC,25,30.3,60.2,8000,200000,2024-08-14,2025-08-14,-276,Expired,True,16,128000
LIC-0033,Vendor_C,CoverageAnalyzer,Node-Locked,Verification,EMEA,10,44.3,58.5,12000,120000,2024-11-24,2026-11-24,191,Low,False,4,48000
LIC-0034,Vendor_C,VerifyTool_A,Floating,Analog,Americas,50,7.5,15.1,12000,600000,2025-05-21,2026-05-21,4,Critical,True,45,540000
LIC-0035,Vendor_A,DesignTool_Lite,Floating,Physical Design,EMEA,50,16.2,29.8,30000,1500000,2025-05-21,2027-05-21,369,Low,True,40,1200000
LIC-0036,Vendor_B,SimEngine_X,Floating,ASIC Design,Americas,15,31.0,37.1,15000,225000,2025-10-05,2027-10-05,506,Low,True,9,135000
LIC-0037,Vendor_A,SchematicCapture,Floating,Mixed-Signal,Americas,5,46.9,54.7,30000,150000,2025-09-16,2026-09-16,122,Low,False,1,30000
LIC-0038,Vendor_B,SimEngine_Pro,Floating,DFT,APAC,15,81.3,100.0,8000,120000,2025-02-14,2026-02-14,-92,Expired,False,1,8000
LIC-0039,Vendor_C,VerifyTool_B,Floating,Analog,APAC,25,27.1,54.2,20000,500000,2024-05-21,2025-05-21,-361,Expired,True,17,340000
LIC-0040,Vendor_A,DesignTool_Lite,Floating,Verification,EMEA,50,11.4,39.5,20000,1000000,2025-06-06,2027-06-06,385,Low,True,43,860000
LIC-0041,Vendor_A,DesignTool_Pro,Node-Locked,DFT,APAC,10,10.8,20.8,20000,200000,2025-02-22,2027-02-22,281,Low,True,7,140000
LIC-0042,Vendor_A,DesignTool_Lite,Floating,ASIC Design,Americas,15,28.0,40.0,8000,120000,2025-05-06,2027-05-06,354,Low,True,9,72000
LIC-0043,Vendor_C,FormalChecker,Floating,Analog,Americas,5,72.5,80.4,15000,75000,2025-08-17,2027-08-17,457,Low,False,0,0
LIC-0044,Vendor_A,DesignTool_Pro,Floating,Mixed-Signal,EMEA,15,10.1,26.0,25000,375000,2025-10-20,2027-10-20,521,Low,True,12,300000
LIC-0045,Vendor_C,VerifyTool_B,Node-Locked,Physical Design,APAC,5,32.8,50.8,25000,125000,2025-07-29,2027-07-29,438,Low,True,2,50000
LIC-0046,Vendor_B,SimEngine_X,Floating,Analog,EMEA,50,43.4,69.6,30000,1500000,2025-04-14,2027-04-14,332,Low,False,27,810000
LIC-0047,Vendor_C,FormalChecker,Floating,Physical Design,EMEA,25,23.4,31.6,20000,500000,2025-01-23,2026-01-23,-114,Expired,True,18,360000
LIC-0048,Vendor_C,CoverageAnalyzer,Node-Locked,DFT,Americas,15,55.5,67.7,20000,300000,2024-07-02,2026-07-02,46,High,False,5,100000
LIC-0049,Vendor_B,TimingAnalyzer,Floating,DFT,Americas,20,60.7,85.5,30000,600000,2025-08-26,2026-08-26,101,Low,False,6,180000
LIC-0050,Vendor_B,WaveformViewer,Floating,ASIC Design,APAC,10,14.3,39.5,12000,120000,2026-01-21,2027-01-21,249,Low,True,7,84000
LIC-0051,Vendor_A,SchematicCapture,Floating,Mixed-Signal,APAC,50,48.8,68.2,30000,1500000,2025-01-18,2027-01-18,246,Low,False,24,720000
LIC-0052,Vendor_B,SimEngine_Pro,Floating,Verification,Americas,5,45.9,70.4,12000,60000,2025-08-19,2027-08-19,459,Low,False,1,12000
LIC-0053,Vendor_A,DesignTool_Lite,Floating,ASIC Design,EMEA,20,32.5,54.2,25000,500000,2024-06-16,2026-06-16,30,Critical,True,12,300000
LIC-0054,Vendor_B,TimingAnalyzer,Node-Locked,Mixed-Signal,EMEA,50,22.5,49.0,20000,1000000,2025-05-26,2026-05-26,9,Critical,True,37,740000
LIC-0055,Vendor_C,CoverageAnalyzer,Floating,Mixed-Signal,EMEA,15,63.6,79.6,30000,450000,2025-04-29,2026-04-29,-18,Expired,False,4,120000
LIC-0056,Vendor_B,WaveformViewer,Floating,Physical Design,Americas,10,15.2,26.0,30000,300000,2025-09-12,2026-09-12,118,Low,True,7,210000
LIC-0057,Vendor_A,SchematicCapture,Floating,DFT,EMEA,20,25.8,32.4,20000,400000,2025-01-13,2026-01-13,-124,Expired,True,13,260000
LIC-0058,Vendor_C,FormalChecker,Node-Locked,DFT,APAC,15,48.0,71.8,20000,300000,2024-08-13,2025-08-13,-277,Expired,False,6,120000
LIC-0059,Vendor_B,SimEngine_Pro,Floating,Physical Design,EMEA,20,47.5,60.9,30000,600000,2024-12-28,2025-12-28,-140,Expired,False,9,270000
LIC-0060,Vendor_B,SimEngine_Pro,Floating,Mixed-Signal,Americas,20,63.9,83.7,30000,600000,2026-01-19,2027-01-19,247,Low,False,6,180000
LIC-0061,Vendor_C,FormalChecker,Floating,Verification,EMEA,15,20.8,35.3,12000,180000,2024-11-07,2026-11-07,174,Low,True,10,120000
LIC-0062,Vendor_B,TimingAnalyzer,Floating,Physical Design,EMEA,5,59.2,76.0,30000,150000,2024-08-12,2025-08-12,-278,Expired,False,1,30000
LIC-0063,Vendor_B,SimEngine_Pro,Node-Locked,Analog,APAC,50,42.2,48.2,8000,400000,2025-06-07,2026-06-07,21,Critical,False,27,216000
LIC-0064,Vendor_A,DesignTool_Lite,Floating,Verification,APAC,5,40.3,59.4,12000,60000,2024-10-27,2026-10-27,163,Low,False,1,12000
LIC-0065,Vendor_B,SimEngine_Pro,Node-Locked,Mixed-Signal,Americas,50,34.8,42.7,12000,600000,2025-04-03,2026-04-03,-44,Expired,True,31,372000
LIC-0066,Vendor_C,VerifyTool_A,Floating,Physical Design,Americas,20,62.5,77.4,30000,600000,2025-07-27,2026-07-27,71,Medium,False,6,180000
LIC-0067,Vendor_C,VerifyTool_B,Node-Locked,ASIC Design,Americas,50,13.9,33.9,8000,400000,2024-07-16,2025-07-16,-305,Expired,True,42,336000
LIC-0068,Vendor_B,TimingAnalyzer,Floating,Analog,EMEA,50,10.5,24.0,20000,1000000,2024-10-02,2025-10-02,-227,Expired,True,43,860000
LIC-0069,Vendor_B,WaveformViewer,Node-Locked,Analog,EMEA,20,67.8,77.2,25000,500000,2025-05-15,2027-05-15,363,Low,False,5,125000
LIC-0070,Vendor_B,TimingAnalyzer,Floating,Analog,Americas,10,49.7,75.5,8000,80000,2025-05-06,2027-05-06,354,Low,False,4,32000
LIC-0071,Vendor_A,SchematicCapture,Floating,Mixed-Signal,Americas,15,64.0,69.7,15000,225000,2025-08-13,2027-08-13,453,Low,False,4,60000
LIC-0072,Vendor_A,LayoutEditor,Floating,Physical Design,EMEA,25,55.0,77.5,15000,375000,2024-07-26,2025-07-26,-295,Expired,False,10,150000
LIC-0073,Vendor_C,VerifyTool_B,Node-Locked,ASIC Design,APAC,20,29.8,48.7,12000,240000,2024-10-16,2026-10-16,152,Low,True,13,156000
LIC-0074,Vendor_B,SimEngine_X,Floating,ASIC Design,EMEA,50,60.9,72.0,30000,1500000,2024-06-30,2026-06-30,44,High,False,18,540000
LIC-0075,Vendor_B,WaveformViewer,Floating,DFT,Americas,15,46.7,69.3,15000,225000,2025-04-08,2027-04-08,326,Low,False,6,90000
LIC-0076,Vendor_A,DesignTool_Pro,Floating,Analog,APAC,50,28.7,47.1,30000,1500000,2025-08-10,2026-08-10,85,Medium,True,34,1020000
LIC-0077,Vendor_A,SchematicCapture,Floating,Physical Design,Americas,25,38.9,58.8,8000,200000,2025-08-01,2027-08-01,441,Low,True,14,112000
LIC-0078,Vendor_A,LayoutEditor,Floating,Verification,EMEA,25,20.8,29.0,8000,200000,2025-12-22,2027-12-22,584,Low,True,18,144000
LIC-0079,Vendor_C,VerifyTool_B,Floating,Analog,EMEA,5,96.5,100.0,20000,100000,2024-10-13,2026-10-13,149,Low,False,0,0
LIC-0080,Vendor_B,SimEngine_Pro,Node-Locked,ASIC Design,EMEA,20,9.5,17.4,8000,160000,2025-01-01,2027-01-01,229,Low,True,17,136000
LIC-0081,Vendor_A,DesignTool_Pro,Node-Locked,Verification,APAC,15,6.7,13.8,12000,180000,2025-10-17,2027-10-17,518,Low,True,12,144000
LIC-0082,Vendor_C,VerifyTool_B,Floating,Mixed-Signal,EMEA,20,23.3,35.7,25000,500000,2024-12-03,2026-12-03,200,Low,True,14,350000
LIC-0083,Vendor_C,VerifyTool_A,Floating,Mixed-Signal,Americas,10,45.7,66.3,15000,150000,2025-11-24,2026-11-24,191,Low,False,4,60000
LIC-0084,Vendor_A,DesignTool_Lite,Floating,Mixed-Signal,APAC,20,16.4,32.7,25000,500000,2024-10-22,2026-10-22,158,Low,True,15,375000
LIC-0085,Vendor_A,DesignTool_Lite,Floating,Physical Design,Americas,20,17.8,24.6,12000,240000,2025-05-21,2026-05-21,4,Critical,True,15,180000
LIC-0086,Vendor_B,SimEngine_X,Floating,Mixed-Signal,APAC,15,44.7,70.4,8000,120000,2025-12-16,2026-12-16,213,Low,False,7,56000
LIC-0087,Vendor_B,WaveformViewer,Floating,DFT,APAC,15,35.2,57.7,15000,225000,2024-09-21,2026-09-21,127,Low,True,8,120000
LIC-0088,Vendor_B,SimEngine_X,Node-Locked,Mixed-Signal,APAC,50,40.6,53.7,15000,750000,2026-01-20,2027-01-20,248,Low,False,28,420000
LIC-0089,Vendor_A,DesignTool_Pro,Floating,Analog,EMEA,10,57.8,74.6,30000,300000,2024-11-20,2026-11-20,187,Low,False,3,90000
LIC-0090,Vendor_A,SchematicCapture,Node-Locked,Analog,EMEA,20,28.4,42.1,15000,300000,2025-03-24,2026-03-24,-54,Expired,True,13,195000
LIC-0091,Vendor_A,LayoutEditor,Floating,DFT,Americas,50,33.2,61.8,25000,1250000,2026-01-09,2028-01-09,602,Low,True,32,800000
LIC-0092,Vendor_A,LayoutEditor,Floating,Physical Design,EMEA,20,25.0,51.6,8000,160000,2024-08-09,2026-08-09,84,Medium,True,14,112000
LIC-0093,Vendor_B,SimEngine_X,Floating,Verification,Americas,20,35.3,55.9,8000,160000,2025-07-22,2027-07-22,431,Low,True,11,88000
LIC-0094,Vendor_C,VerifyTool_B,Node-Locked,Physical Design,EMEA,20,34.4,42.4,30000,600000,2024-06-02,2025-06-02,-349,Expired,True,12,360000
LIC-0095,Vendor_C,VerifyTool_B,Floating,Physical Design,Americas,20,49.4,56.7,8000,160000,2024-10-31,2025-10-31,-198,Expired,False,9,72000
LIC-0096,Vendor_C,VerifyTool_B,Floating,DFT,Americas,50,54.7,66.5,20000,1000000,2024-10-20,2025-10-20,-209,Expired,False,21,420000
LIC-0097,Vendor_B,SimEngine_Pro,Node-Locked,DFT,APAC,25,52.4,76.1,12000,300000,2025-12-06,2027-12-06,568,Low,False,10,120000
LIC-0098,Vendor_B,WaveformViewer,Node-Locked,Mixed-Signal,EMEA,15,14.1,37.3,25000,375000,2024-07-02,2026-07-02,46,High,True,11,275000
LIC-0099,Vendor_A,SchematicCapture,Floating,Mixed-Signal,EMEA,25,30.4,54.5,20000,500000,2024-11-06,2026-11-06,173,Low,True,16,320000
LIC-0100,Vendor_A,DesignTool_Lite,Floating,Mixed-Signal,EMEA,20,25.2,31.3,30000,600000,2024-10-19,2026-10-19,155,Low,True,13,390000
LIC-0101,Vendor_B,SimEngine_Pro,Floating,DFT,APAC,25,35.7,49.0,8000,200000,2024-11-22,2025-11-22,-176,Expired,True,15,120000
LIC-0102,Vendor_C,FormalChecker,Floating,ASIC Design,Americas,50,68.0,97.2,8000,400000,2024-10-23,2026-10-23,159,Low,False,14,112000
LIC-0103,Vendor_B,TimingAnalyzer,Node-Locked,Analog,APAC,50,20.6,47.1,20000,1000000,2025-03-28,2027-03-28,315,Low,True,38,760000
LIC-0104,Vendor_C,VerifyTool_A,Floating,Mixed-Signal,APAC,50,24.5,52.5,12000,600000,2025-11-15,2027-11-15,547,Low,True,36,432000
LIC-0105,Vendor_A,DesignTool_Pro,Floating,DFT,APAC,5,35.8,41.9,8000,40000,2025-04-21,2027-04-21,339,Low,True,2,16000
LIC-0106,Vendor_B,TimingAnalyzer,Floating,Verification,APAC,25,29.0,51.0,12000,300000,2025-08-25,2026-08-25,100,Low,True,16,192000
LIC-0107,Vendor_A,SchematicCapture,Floating,Mixed-Signal,Americas,25,24.5,33.1,20000,500000,2025-05-31,2027-05-31,379,Low,True,17,340000
LIC-0108,Vendor_B,SimEngine_X,Floating,DFT,EMEA,10,42.4,49.2,15000,150000,2024-06-24,2026-06-24,38,High,False,4,60000
LIC-0109,Vendor_C,FormalChecker,Floating,Analog,EMEA,15,38.3,48.3,20000,300000,2024-10-09,2025-10-09,-220,Expired,True,8,160000
LIC-0110,Vendor_A,SchematicCapture,Floating,Mixed-Signal,EMEA,50,23.1,35.5,30000,1500000,2025-01-06,2027-01-06,234,Low,True,37,1110000
LIC-0111,Vendor_A,DesignTool_Pro,Floating,Mixed-Signal,Americas,15,9.6,34.0,12000,180000,2024-06-04,2026-06-04,18,Critical,True,12,144000
LIC-0112,Vendor_A,DesignTool_Lite,Floating,Mixed-Signal,EMEA,50,63.0,87.2,30000,1500000,2025-09-28,2026-09-28,134,Low,False,17,510000
LIC-0113,Vendor_C,VerifyTool_A,Floating,Physical Design,EMEA,15,24.8,48.1,8000,120000,2025-04-19,2027-04-19,337,Low,True,10,80000
LIC-0114,Vendor_C,FormalChecker,Floating,Verification,APAC,25,79.0,100.0,15000,375000,2024-08-21,2026-08-21,96,Low,False,4,60000
LIC-0115,Vendor_A,LayoutEditor,Node-Locked,DFT,EMEA,15,69.7,94.8,20000,300000,2025-11-30,2026-11-30,197,Low,False,3,60000
LIC-0116,Vendor_A,SchematicCapture,Floating,Mixed-Signal,EMEA,20,51.1,56.4,25000,500000,2025-10-12,2027-10-12,513,Low,False,8,200000
LIC-0117,Vendor_B,WaveformViewer,Node-Locked,Mixed-Signal,EMEA,15,16.9,24.6,12000,180000,2024-10-21,2025-10-21,-208,Expired,True,11,132000
LIC-0118,Vendor_C,CoverageAnalyzer,Floating,Mixed-Signal,APAC,50,22.5,48.1,30000,1500000,2025-04-12,2027-04-12,330,Low,True,37,1110000
LIC-0119,Vendor_A,DesignTool_Lite,Floating,ASIC Design,APAC,20,37.9,45.8,12000,240000,2024-08-14,2025-08-14,-276,Expired,True,11,132000
LIC-0120,Vendor_B,TimingAnalyzer,Node-Locked,Physical Design,Americas,50,23.2,51.8,20000,1000000,2024-06-24,2025-06-24,-327,Expired,True,37,740000
LIC-0121,Vendor_B,SimEngine_X,Floating,DFT,Americas,15,33.7,39.5,15000,225000,2025-07-08,2027-07-08,417,Low,True,8,120000
LIC-0122,Vendor_B,SimEngine_Pro,Node-Locked,Physical Design,APAC,15,6.4,25.0,30000,450000,2025-02-13,2026-02-13,-93,Expired,True,13,390000
LIC-0123,Vendor_B,WaveformViewer,Node-Locked,Verification,APAC,20,61.5,68.8,12000,240000,2024-06-14,2025-06-14,-337,Expired,False,6,72000
LIC-0124,Vendor_A,LayoutEditor,Node-Locked,Verification,APAC,10,47.3,54.0,25000,250000,2025-07-18,2026-07-18,62,Medium,False,4,100000
LIC-0125,Vendor_A,LayoutEditor,Floating,Verification,Americas,10,32.2,61.9,25000,250000,2025-06-04,2026-06-04,18,Critical,True,5,125000
LIC-0126,Vendor_A,DesignTool_Pro,Floating,Verification,APAC,10,83.0,100.0,8000,80000,2025-08-21,2027-08-21,461,Low,False,0,0
LIC-0127,Vendor_A,DesignTool_Lite,Floating,Analog,EMEA,50,25.0,31.6,20000,1000000,2025-02-10,2026-02-10,-96,Expired,True,36,720000
LIC-0128,Vendor_B,SimEngine_Pro,Node-Locked,Mixed-Signal,APAC,50,82.9,100.0,20000,1000000,2026-01-15,2027-01-15,243,Low,False,7,140000
LIC-0129,Vendor_B,TimingAnalyzer,Floating,DFT,Americas,50,10.2,37.9,8000,400000,2025-11-25,2027-11-25,557,Low,True,43,344000
LIC-0130,Vendor_C,VerifyTool_B,Floating,ASIC Design,APAC,50,6.3,25.9,30000,1500000,2025-03-20,2027-03-20,307,Low,True,45,1350000
LIC-0131,Vendor_C,CoverageAnalyzer,Floating,DFT,Americas,5,60.8,85.6,8000,40000,2024-07-31,2025-07-31,-290,Expired,False,0,0
LIC-0132,Vendor_B,TimingAnalyzer,Floating,Verification,EMEA,20,25.9,40.9,30000,600000,2025-11-10,2027-11-10,542,Low,True,13,390000
LIC-0133,Vendor_B,WaveformViewer,Floating,Analog,EMEA,10,40.6,62.8,20000,200000,2025-12-09,2026-12-09,206,Low,False,4,80000
LIC-0134,Vendor_A,DesignTool_Pro,Node-Locked,DFT,APAC,15,53.9,79.2,25000,375000,2025-12-16,2027-12-16,578,Low,False,5,125000
LIC-0135,Vendor_C,VerifyTool_A,Node-Locked,DFT,EMEA,20,67.7,94.4,30000,600000,2025-12-25,2027-12-25,587,Low,False,5,150000
LIC-0136,Vendor_C,CoverageAnalyzer,Floating,Physical Design,APAC,10,23.2,32.1,20000,200000,2025-07-01,2026-07-01,45,High,True,6,120000
LIC-0137,Vendor_B,WaveformViewer,Floating,ASIC Design,EMEA,20,39.7,65.8,25000,500000,2024-05-28,2025-05-28,-354,Expired,True,11,275000
LIC-0138,Vendor_C,CoverageAnalyzer,Floating,ASIC Design,APAC,15,36.9,64.9,15000,225000,2026-02-09,2027-02-09,268,Low,True,8,120000
LIC-0139,Vendor_A,SchematicCapture,Node-Locked,ASIC Design,APAC,5,6.3,13.6,25000,125000,2025-07-10,2027-07-10,419,Low,True,3,75000
LIC-0140,Vendor_B,TimingAnalyzer,Floating,Physical Design,APAC,50,44.1,57.2,25000,1250000,2024-06-15,2025-06-15,-336,Expired,False,26,650000
LIC-0141,Vendor_A,DesignTool_Lite,Floating,Verification,Americas,5,52.0,63.8,30000,150000,2024-12-08,2026-12-08,205,Low,False,1,30000
LIC-0142,Vendor_C,FormalChecker,Floating,DFT,EMEA,25,47.7,55.5,20000,500000,2025-10-25,2027-10-25,526,Low,False,12,240000
LIC-0143,Vendor_C,FormalChecker,Floating,Mixed-Signal,Americas,10,43.3,58.2,25000,250000,2025-12-21,2026-12-21,218,Low,False,4,100000
LIC-0144,Vendor_A,LayoutEditor,Node-Locked,Verification,APAC,15,53.0,66.2,8000,120000,2024-09-24,2026-09-24,130,Low,False,6,48000
LIC-0145,Vendor_A,DesignTool_Lite,Node-Locked,DFT,Americas,25,54.2,73.2,30000,750000,2025-02-18,2026-02-18,-88,Expired,False,10,300000
LIC-0146,Vendor_B,SimEngine_X,Floating,DFT,APAC,5,21.6,48.2,25000,125000,2024-12-03,2026-12-03,200,Low,True,2,50000
LIC-0147,Vendor_C,FormalChecker,Floating,Physical Design,APAC,15,76.5,85.8,25000,375000,2024-11-01,2026-11-01,168,Low,False,2,50000
LIC-0148,Vendor_A,SchematicCapture,Floating,ASIC Design,APAC,20,59.0,77.1,20000,400000,2025-04-04,2027-04-04,322,Low,False,7,140000
LIC-0149,Vendor_A,LayoutEditor,Floating,Verification,APAC,5,28.8,47.1,12000,60000,2025-02-23,2027-02-23,282,Low,True,2,24000
LIC-0150,Vendor_C,VerifyTool_B,Floating,Verification,APAC,10,26.0,35.3,12000,120000,2025-11-30,2026-11-30,197,Low,True,6,72000
LIC-0151,Vendor_C,FormalChecker,Node-Locked,DFT,Americas,20,29.0,51.0,25000,500000,2024-05-17,2026-05-17,0,Critical,True,13,325000
LIC-0152,Vendor_C,CoverageAnalyzer,Floating,Verification,EMEA,20,50.1,70.9,15000,300000,2024-06-20,2025-06-20,-331,Expired,False,8,120000
LIC-0153,Vendor_B,SimEngine_X,Floating,Physical Design,EMEA,5,62.2,76.4,15000,75000,2025-11-29,2026-11-29,196,Low,False,0,0
LIC-0154,Vendor_C,FormalChecker,Floating,DFT,Americas,50,76.0,100.0,20000,1000000,2024-07-10,2025-07-10,-311,Expired,False,11,220000
LIC-0155,Vendor_B,TimingAnalyzer,Node-Locked,Mixed-Signal,APAC,20,31.0,38.6,15000,300000,2025-11-21,2026-11-21,188,Low,True,12,180000
LIC-0156,Vendor_A,DesignTool_Lite,Node-Locked,Analog,EMEA,25,15.2,33.3,12000,300000,2025-02-08,2027-02-08,267,Low,True,20,240000
LIC-0157,Vendor_B,TimingAnalyzer,Floating,DFT,EMEA,5,27.0,51.7,30000,150000,2025-03-10,2026-03-10,-68,Expired,True,2,60000
LIC-0158,Vendor_B,SimEngine_X,Floating,Mixed-Signal,Americas,15,22.1,45.2,30000,450000,2024-06-08,2025-06-08,-343,Expired,True,10,300000
LIC-0159,Vendor_B,SimEngine_X,Floating,Mixed-Signal,Americas,15,53.6,66.4,30000,450000,2025-01-10,2026-01-10,-127,Expired,False,5,150000
LIC-0160,Vendor_C,VerifyTool_A,Floating,Physical Design,Americas,15,29.9,55.2,30000,450000,2024-08-25,2025-08-25,-265,Expired,True,9,270000
LIC-0161,Vendor_C,FormalChecker,Floating,Mixed-Signal,EMEA,15,26.3,35.8,12000,180000,2025-03-03,2027-03-03,290,Low,True,10,120000
LIC-0162,Vendor_A,DesignTool_Lite,Floating,Verification,APAC,5,31.2,48.9,25000,125000,2024-08-25,2025-08-25,-265,Expired,True,2,50000
LIC-0163,Vendor_C,CoverageAnalyzer,Floating,Mixed-Signal,APAC,10,26.1,35.2,30000,300000,2024-05-17,2025-05-17,-365,Expired,True,6,180000
LIC-0164,Vendor_C,FormalChecker,Floating,ASIC Design,EMEA,50,21.3,32.2,20000,1000000,2024-05-31,2026-05-31,14,Critical,True,38,760000
LIC-0165,Vendor_C,FormalChecker,Floating,Verification,Americas,20,70.7,98.3,12000,240000,2025-02-04,2027-02-04,263,Low,False,4,48000
LIC-0166,Vendor_B,WaveformViewer,Floating,DFT,Americas,10,20.0,45.4,25000,250000,2025-09-27,2027-09-27,498,Low,True,7,175000
LIC-0167,Vendor_A,SchematicCapture,Node-Locked,Physical Design,Americas,50,53.5,79.6,8000,400000,2025-04-30,2026-04-30,-17,Expired,False,22,176000
LIC-0168,Vendor_A,LayoutEditor,Floating,DFT,Americas,20,12.7,20.0,12000,240000,2024-11-11,2026-11-11,178,Low,True,16,192000
LIC-0169,Vendor_A,SchematicCapture,Floating,ASIC Design,EMEA,10,48.5,63.2,8000,80000,2025-01-28,2026-01-28,-109,Expired,False,4,32000
LIC-0170,Vendor_A,LayoutEditor,Floating,ASIC Design,Americas,10,77.0,85.4,15000,150000,2024-10-20,2025-10-20,-209,Expired,False,1,15000
LIC-0171,Vendor_C,FormalChecker,Floating,DFT,Americas,5,22.2,27.7,12000,60000,2025-09-15,2027-09-15,486,Low,True,2,24000
